company_number,company_name,status,company_type,date_of_creation,address,postcode,locality,region,sic_codes,sic_descriptions,is_truck_commercial,is_mobile,categories
15261798,MOBILE TYRE LEICESTER LIMITED,active,ltd,2023-11-06,"389 Abbey Lane, Leicester, LE4 5QJ",LE4 5QJ,Leicester,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
15950257,MOBILE TYRE LONDON LTD,active,ltd,2024-09-11,"11 Florida Road, Thornton Heath, CR7 8EY",CR7 8EY,Thornton Heath,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
13178058,MOBILE TYREMAN LIMITED,active,ltd,2021-02-03,"East London Business Centre, 93-101 Greenfield Road, London, E1 1EJ",E1 1EJ,London,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
16667811,MOBILE TYRE MATES LTD,active,ltd,2025-08-22,"172 Newport Road, Aldershot, GU12 4PZ",GU12 4PZ,Aldershot,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15959771,MOBILE TYRE MEDICS LIMITED,active,ltd,2024-09-16,"6 Fallowfield Drive, Newport, NP19 4TD",NP19 4TD,Newport,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
08335032,MOBILE TYRE PROFESSIONALS LIMITED,active,ltd,2012-12-18,"11 Lynx Crescent, Weston-Super-Mare, BS24 9DJ",BS24 9DJ,Weston-Super-Mare,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15949849,MOBILE TYRE REPAIR TEAM LTD,active,ltd,2024-09-11,"662 High Road, London, N12 0NL",N12 0NL,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
16284277,MOBILE TYRE REPLACEMENT LIMITED,active,ltd,2025-02-28,"26 Lottie Road, Birmingham, B29 6JZ",B29 6JZ,Birmingham,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
13600322,MOBILE TYRE RESCUE LTD,active,ltd,2021-09-02,"464 Wokingham Road, Earley, Reading, RG6 7HY",RG6 7HY,Reading,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
16887384,MOBILE TYRE RESCUE SERVICE LTD,active,ltd,2025-12-02,"Flat 12 Banstead Court, 50 Westway, London, W12 0QH",W12 0QH,London,,52219,52219: Warehousing and support activities for transportation,False,True,mobile; fitting_service
16538155,MOBILE TYRE RESCUE24/7 LTD,active,ltd,2025-06-24,"61 Delamare Road, Hayes, UB4 0NN",UB4 0NN,Hayes,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
