name,category,is_truck,is_mobile,company_number,status,phone,email,website,address,postcode,region,verified,source
TRUCK TYRES 4 U LTD,Truck Tyre (Fixed/Unknown),Yes,No,15543670,active,,,,"121 Lark Lane, Liverpool, L17 8UR",L17 8UR,,Yes,Companies House API
TRUCK TYRES DIRECT LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,15105571,active,,,,"24 Dalkeith Place, Kettering, NN16 0BS",NN16 0BS,,Yes,Companies House API
TRUCK TYRES NATIONAL LTD,Truck Tyre (Fixed/Unknown),Yes,No,16707059,active,,,,"Unit 389 275 New North Road, Islington, London, N1 7AA",N1 7AA,,Yes,Companies House API
TRUCK TYRES ONLINE LTD,Truck Tyre (Fixed/Unknown),Yes,No,16049229,active,,,,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, OL6 7LQ",OL6 7LQ,Lancashire,Yes,Companies House API
TRUCK TYRES UK LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,SC644925,active,,,,"Blue Square Offices Ltd, Bath Street, Glasgow, G2 4JR",G2 4JR,,Yes,Companies House API
TT COMMERCIAL TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,16846304,active,,,,"72 Springfield Avenue, Shirehampton, Bristol, England, BS11 9TQ",,,Yes,Companies House API
TYRE FIGHTER COMMERCIAL LTD,Truck Tyre (Fixed/Unknown),Yes,No,SC774234,active,,,,"5 Mayfield Grove, Dundee, Scotland, DD4 7GZ",,,Yes,Companies House API
TYRE FLEET SERVICES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,15959838,active,,,,"15959838 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",CF14 8LH,,Yes,Companies House API
TYRES (NORTHAMPTON) COMMERCIAL LLP,Truck Tyre (Fixed/Unknown),Yes,No,OC305378,active,,,,"3 Warren Yard, Warren Park Stratford Road, Milton Keynes, Buckinghamshire, MK12 5NW",,,Yes,Companies House API
WESSEX COMMERCIAL TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,06686704,active,,,,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",,,Yes,Companies House API
WIRRAL TYRES & COMMERCIAL LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,05980097,active,,,,"16 Bassendale Road, Croft Business Park Bromborough, Wirral, CH62 3QL",,,Yes,Companies House API
1ST MOBILE TYRE FITTING LTD,Mobile Tyre (General),No,Yes,16652897,active,,,,"128 City Road, London, EC1V 2NX",EC1V 2NX,London,Yes,Companies House (mobile tyre fitting)
24 HOURS TYRES CARDIFF LTD,Mobile Tyre (General),No,Yes,16914677,active,,,,"20 Bessemer Road, Cardiff, CF11 8BA",CF11 8BA,Wales,Yes,Companies House (24 hour tyre)
24/7 AA MOBILE TYRE SERVICE LTD,Mobile Tyre (General),No,Yes,16020223,active,,,,"13 Oakleigh Court Church Hill Road, Barnet, EN4 8UX",EN4 8UX,London,Yes,Companies House (mobile tyre service)
24/7 ALPHA MOBILE TYRE SERVICE LTD,Mobile Tyre (General),No,Yes,16673127,active,,,,"190 Billet Road, London, E17 5DX",E17 5DX,London,Yes,Companies House (mobile tyre service)
24/7 EMERGENCY MOBILE TYRES SERVICE NORTH WEST LIMITED,Mobile Tyre (General),No,Yes,16584732,active,,,,"182 Chamber Road, Oldham, OL8 4DJ",OL8 4DJ,,Yes,Companies House (emergency tyre)
24/7 MOBILE TYRE SERVICES LTD,Mobile Tyre (General),No,Yes,09831724,active,,,,"Clemency Business Centre, 354a Hollinwood Avenue, Manchester, Greater Manchester, M40 0JB",M40 0JB,Greater Manchester,Yes,Companies House (mobile tyre service)
24/7 MOBILE TYRES SERVICES LTD,Mobile Tyre (General),No,Yes,16748148,active,,,,"64 Caburn Court, Crawley, RH11 8SX",RH11 8SX,,Yes,Companies House (mobile tyre service)
24/7 TYRE SERVICES LIMITED,Mobile Tyre (General),No,Yes,16624347,active,,,,"8 Beech Avenue, London, N20 9JT",N20 9JT,London,Yes,Companies House (24/7 tyre)
